Time_of_Day,Day_of_Week,Month,Weather_Conditions,Road_Type,Road_Condition,Lighting_Conditions,Traffic_Control_Presence,Speed_Limit,Driver_Age,Driver_Gender,Alcohol_Involvement,Number_of_Vehicles_Involved,Accident_Severity
Evening,Sunday,Jun,Clear,City Road,Under Construction,No Lighting,Signal,60,72,Male,Yes,1,Fatal
Night,Thursday,Feb,Rain,Rural Road,Wet,No Lighting,Speed Breaker,100,48,Male,Yes,2,Fatal
Morning,Saturday,Jun,Fog,City Road,Wet,Daylight,Signal,50,67,Female,Yes,1,Minor
Evening,Wednesday,Mar,Clear,Highway,Dry,Daylight,None,60,18,Male,No,1,Minor
Evening,Sunday,Dec,Clear,City Road,Under Construction,Daylight,Signal,50,34,Female,No,1,Minor
Night,Friday,Dec,Rain,Highway,Dry,Street Lit,Signal,60,33,Male,No,1,Minor
Morning,Monday,Sep,Rain,Highway,Under Construction,Street Lit,None,50,72,Male,No,1,Major
Morning,Sunday,Nov,Rain,City Road,Dry,Daylight,Signal,50,54,Male,No,1,Minor
Evening,Friday,Feb,Fog,Highway,Dry,No Lighting,Speed Breaker,60,69,Male,No,2,Major
Afternoon,Saturday,Dec,Fog,City Road,Dry,Street Lit,Signal,30,70,Male,No,2,Major
Evening,Saturday,Dec,Snow,Highway,Wet,No Lighting,Speed Breaker,40,27,Male,No,1,Major
Evening,Monday,Sep,Clear,City Road,Dry,Street Lit,Speed Breaker,80,75,Male,Yes,1,Minor
Evening,Tuesday,May,Clear,City Road,Under Construction,Daylight,Signal,60,55,Male,No,1,Minor
Evening,Monday,Aug,Clear,Highway,Dry,Daylight,None,100,61,Female,No,1,Minor
Night,Thursday,Feb,Clear,City Road,Dry,Daylight,Speed Breaker,80,48,Male,No,2,Minor
Morning,Sunday,Jun,Rain,Highway,Dry,Daylight,Signal,30,27,Male,No,4,Fatal
Night,Wednesday,Mar,Clear,City Road,Dry,Street Lit,Speed Breaker,80,71,Male,No,2,Major
Night,Tuesday,Dec,Storm,City Road,Dry,Street Lit,Speed Breaker,40,66,Female,No,2,Minor
Night,Monday,Dec,Rain,City Road,Dry,Street Lit,Signal,80,51,Male,No,1,Major
Evening,Friday,Oct,Rain,Rural Road,Wet,Street Lit,Signal,120,68,Male,No,1,Minor
Afternoon,Tuesday,May,Clear,Highway,Dry,Daylight,Signal,60,69,Female,No,3,Major
Morning,Sunday,Dec,Clear,City Road,Potholes,Daylight,Signal,80,23,Female,No,4,Minor
Afternoon,Tuesday,Aug,Clear,City Road,Dry,Daylight,Speed Breaker,50,45,Male,No,1,Major
Night,Sunday,Oct,Clear,Rural Road,Under Construction,Daylight,Signal,60,45,Male,Yes,1,Minor
Night,Monday,Jan,Clear,Highway,Dry,Daylight,None,100,76,Female,No,2,Minor
Afternoon,Sunday,May,Rain,City Road,Dry,Daylight,Signal,50,30,Female,No,1,Minor
Afternoon,Tuesday,Mar,Fog,City Road,Dry,Daylight,Signal,50,58,Male,No,2,Minor
Afternoon,Friday,Apr,Fog,Highway,Dry,Daylight,Speed Breaker,60,29,Male,No,2,Major
Night,Saturday,Feb,Rain,City Road,Under Construction,Street Lit,Speed Breaker,80,67,Male,No,1,Minor
Night,Tuesday,Sep,Clear,Highway,Dry,Daylight,Speed Breaker,60,57,Male,No,4,Major
Morning,Sunday,Mar,Fog,City Road,Dry,Daylight,Signal,100,74,Male,No,4,Major
Morning,Saturday,Feb,Fog,Rural Road,Under Construction,Daylight,Signal,40,67,Male,No,3,Major
Night,Sunday,Oct,Clear,City Road,Dry,No Lighting,Signal,60,74,Female,No,1,Major
Afternoon,Friday,Nov,Rain,City Road,Wet,Daylight,None,80,72,Female,Yes,1,Minor
Afternoon,Sunday,Sep,Clear,City Road,Dry,Daylight,Signal,50,74,Male,No,1,Minor
Morning,Monday,Jul,Fog,Highway,Under Construction,Street Lit,None,80,71,Male,No,1,Fatal
Night,Wednesday,Jun,Snow,Highway,Dry,Daylight,Speed Breaker,50,19,Male,No,1,Major
Morning,Tuesday,Jan,Clear,City Road,Dry,No Lighting,Signal,40,25,Male,No,1,Major
Morning,Wednesday,May,Fog,Highway,Dry,Daylight,Speed Breaker,40,59,Male,No,2,Major
Evening,Sunday,Dec,Rain,Highway,Potholes,Daylight,None,100,26,Male,No,1,Minor
Evening,Friday,Nov,Snow,City Road,Dry,Daylight,None,60,77,Male,No,1,Major
Evening,Tuesday,Nov,Clear,Highway,Dry,Street Lit,Signal,80,73,Male,No,1,Fatal
Afternoon,Sunday,Mar,Fog,Highway,Wet,Daylight,Signal,50,67,Female,No,2,Minor
Night,Saturday,Jan,Clear,City Road,Potholes,Daylight,Signal,60,25,Male,No,2,Major
Night,Thursday,Apr,Clear,Highway,Under Construction,Daylight,Signal,60,68,Male,No,1,Minor
Night,Sunday,Feb,Clear,Rural Road,Potholes,Daylight,Speed Breaker,100,20,Female,No,4,Minor
Night,Wednesday,Feb,Snow,Rural Road,Dry,Daylight,None,80,26,Male,No,1,Major
Evening,Tuesday,Mar,Fog,City Road,Dry,Street Lit,Signal,80,30,Male,No,1,Major
Afternoon,Wednesday,Aug,Fog,Highway,Wet,Street Lit,Speed Breaker,30,26,Male,No,2,Major
Afternoon,Tuesday,Aug,Storm,City Road,Under Construction,Daylight,Speed Breaker,60,48,Female,No,2,Fatal
Evening,Sunday,Dec,Clear,City Road,Dry,Daylight,Signal,60,42,Male,No,1,Minor
Afternoon,Monday,Jul,Clear,City Road,Dry,Street Lit,Signal,100,69,Male,No,3,Major
Evening,Saturday,Jun,Clear,Highway,Wet,Daylight,Speed Breaker,50,61,Male,Yes,3,Minor
Night,Sunday,Sep,Clear,City Road,Dry,Daylight,None,50,79,Male,No,1,Minor
Evening,Wednesday,Apr,Clear,City Road,Dry,Daylight,Speed Breaker,60,72,Male,No,1,Minor
Night,Thursday,Dec,Clear,City Road,Dry,Street Lit,Signal,50,62,Male,No,1,Major
Night,Thursday,Jan,Clear,City Road,Dry,No Lighting,Signal,40,25,Female,No,1,Minor
